provider_code,provider_name,city,claim_type
GRG0024,Kade Car Care,Kurnool,auto
GRG0025,Lalla Car Care,Chandrapur,auto
GRG0026,Behl Motors,Bhusawal,auto
GRG0027,Malhotra Automobiles,Delhi,auto
GRG0028,Nath Automobiles,Firozabad,auto
GRG0029,Edwin Motors,Suryapet,auto
GRG0030,Sane Service Centre,Gorakhpur,auto
GRG0031,Borra Motors,Bongaigaon,auto
GRG0032,Banik Service Centre,Ballia,auto
GRG0033,Divan Automobiles,Warangal,auto
GRG0034,Barman Motors,Bharatpur,auto
GRG0035,Baral Car Care,Bhagalpur,auto
GRG0036,Krish Motors,Raichur,auto
GRG0037,Ray Car Care,Patiala,auto
GRG0038,Gaba Automobiles,Haridwar,auto
GRG0039,Bakshi Motors,Thoothukudi,auto
GRG0040,Sabharwal Auto Works,Shimoga,auto
GRG0041,Dutta Automobiles,Eluru,auto
GRG0042,Barad Auto Works,Korba,auto
GRG0043,Iyengar Motors,Etawah,auto
GRG0044,Mody Car Care,Rajahmundry,auto
GRG0045,Bajwa Car Care,Silchar,auto
GRG0046,Narasimhan Service Centre,Coimbatore,auto
GRG0047,Mallick Auto Works,Danapur,auto
GRG0048,Ratta Automobiles,Bhopal,auto
GRG0049,D’Alia Car Care,Mangalore,auto
GRG0050,Lanka Auto Works,Moradabad,auto
GRG0051,Saraf Automobiles,Satara,auto
GRG0052,Sarin Automobiles,Kharagpur,auto
GRG0053,Gupta Car Care,Varanasi,auto
GRG0054,Sarin Motors,Saharsa,auto
GRG0055,Yohannan Car Care,Bharatpur,auto
GRG0056,Sankar Car Care,Bathinda,auto
GRG0057,Murthy Motors,Dewas,auto
GRG0058,Tripathi Service Centre,Alappuzha,auto
GRG0059,Narain Automobiles,Sagar,auto
GRG0060,Datta Motors,Bidar,auto
GRG0061,Raghavan Service Centre,Tadepalligudem,auto
GRG0062,Mitra Motors,Motihari,auto
GRG0063,Acharya Service Centre,Baranagar,auto
GRG0064,Kade Car Care,Adoni,auto
GRG0065,Nagy Motors,Mango,auto
GRG0066,Sathe Automobiles,Sasaram,auto
GRG0067,Solanki Motors,Guwahati,auto
GRG0068,Mander Car Care,Tiruchirappalli,auto
GRG0069,Keer Motors,Kamarhati,auto
GRG0070,Issac Automobiles,Nagpur,auto
CTR0001,Batra Infra Projects,Fatehpur,property
CTR0002,Bora Civil Works,Vijayanagaram,property
CTR0003,Hayer Builders,Shimla,property
CTR0004,Ratta Infra Projects,Siliguri,property
CTR0005,Ahluwalia Infra Projects,Khandwa,property
CTR0006,Kanda Infra Projects,Kadapa,property
CTR0007,Shetty Infra Projects,Proddatur,property
CTR0008,Krish Constructions,Sirsa,property
CTR0009,Deol Infra Projects,Bettiah,property
CTR0010,Nadig Constructions,Pudukkottai,property
CTR0011,Thaman Infra Projects,Motihari,property
CTR0012,Sehgal Restoration Services,Fatehpur,property
CTR0013,Sengupta Civil Works,Shahjahanpur,property
CTR0014,Malhotra Civil Works,Mathura,property
CTR0015,Maharaj Civil Works,Solapur,property
CTR0016,Mangal Civil Works,Darbhanga,property
CTR0017,Nayak Civil Works,Panvel,property
CTR0018,Buch Civil Works,Saharanpur,property
CTR0019,Kashyap Builders,Jamnagar,property
CTR0020,Kala Infra Projects,Vijayanagaram,property
CTR0021,Reddy Restoration Services,Hosur,property
CTR0022,Shukla Constructions,Ghaziabad,property
CTR0023,Jhaveri Restoration Services,Pali,property
CTR0024,Bahri Infra Projects,Morena,property
CTR0025,Ahuja Infra Projects,Bihar Sharif,property
CTR0026,Ramakrishnan Infra Projects,Siwan,property
CTR0027,Kannan Restoration Services,Muzaffarnagar,property
CTR0028,Mahajan Civil Works,Shivpuri,property
CTR0029,Balakrishnan Constructions,Naihati,property
CTR0030,Ravel Civil Works,Bhind,property
CTR0031,Datta Civil Works,Singrauli,property
CTR0032,Bala Constructions,Haldia,property
CTR0033,Deshmukh Constructions,South Dumdum,property
CTR0034,Bedi Builders,Nadiad,property
CTR0035,Narang Builders,Malda,property
CTR0036,Narain Restoration Services,Nadiad,property
CTR0037,Mall Restoration Services,Nizamabad,property
CTR0038,Bumb Builders,Surat,property
CTR0039,Zacharia Restoration Services,Etawah,property
CTR0040,Kapur Civil Works,Thane,property
CTR0041,Balasubramanian Constructions,Kollam,property
CTR0042,Bahri Constructions,Mathura,property
CTR0043,Date Constructions,Raipur,property
CTR0044,Kamdar Restoration Services,Bardhaman,property
CTR0045,Pillay Constructions,Medininagar,property
CTR0046,Contractor Civil Works,Bijapur,property
CTR0047,Chokshi Constructions,Bijapur,property
CTR0048,Prashad Restoration Services,Davanagere,property
CTR0049,Borra Constructions,Kota,property
CTR0050,Mitra Builders,Buxar,property
